Study Hours per Week,Attendance Rate,Previous Grades,Passed
11.3,67.3,200,Yes
10,54.8,49.1,Yes
8.8,67,91.5,No
2.9,78.7,45.5,nan
7.9,86.6,61.8,No
,77.4,54.1,Yes
6,88,52,No
9.2,44.6,71.2,Yes
12,92.3,77.3,Yes
19.4,52.4,47.3,Yes
10.9,94.7,65.8,Yes
11.3,,63.3,Yes
9.6,37.6,58.2,Yes
,89.7,51,No
9.9,94.9,81.6,No
10.3,100.2,49.5,Yes
22.3,59.6,45.5,No
9,78.6,81.5,Yes
11.5,88.9,68,Yes
9.8,89.7,47.3,nan
4.2,83.2,63.8,Yes
15.7,66.5,55.6,Yes
13.8,94.8,87.3,Yes
14,94.9,61.4,Yes
5.5,71.9,73,Yes
17,59.3,64.7,No
3,,86.6,No
12.9,102.3,68.1,Yes
21,94,82.4,No
,74.6,73.1,No
7.2,71,56.7,Yes
10.5,39.6,65,Yes
7.5,73.3,61.8,Yes
2.2,51.2,56.4,No
10.3,78.2,48.8,No
4.7,98.7,85.4,Yes
12.4,55.4,34.1,No
5.4,79.8,85,No
17.7,95,44.9,Yes
6.1,79.4,73.1,Yes
8.4,64.5,56.2,Yes
14.1,75.2,40,Yes
3.8,94.1,82.2,Yes
11.1,80.3,29,Yes
16.5,74.9,76.9,No
2,98.1,66.9,Yes
10.9,85.3,80.8,Yes
11.3,50.9,74.4,Yes
13.9,87.6,74.2,No
3.8,94,78.5,Yes
3.4,50.3,,No
12.6,29.6,,No
11.5,54.2,60,No
11.3,73,61.6,Yes
11.7,95.2,66.6,Yes
6.6,57.2,61,nan
11.2,86.1,97.8,Yes
11.5,17.2,63.7,No
6.4,78.6,47.8,No
19.3,66.9,63.2,No
12.4,117,52.4,No
4,37.2,94.4,Yes
,,66.5,Yes
5.1,37,74.5,No
13.9,64,72.7,Yes
15.8,41,79.2,Yes
5.9,121,68.6,No
14.8,67.9,59,nan
12.1,70.8,65.7,No
14.1,74.1,46.6,No
19.5,52.4,,nan
8.8,96.1,91.9,No
6.2,87.8,76,No
5.6,93.4,63.4,No
5.9,50.6,,Yes
9.6,97.7,55.9,No
11.7,95.4,70.1,Yes
11.4,70.4,60.5,No
14.1,92.9,61.9,No
10.1,80.5,70.9,Yes
17.3,43.1,73.6,Yes
8.7,71.3,62,Yes
,65.4,52.5,Yes
13.1,76.7,92.5,Yes
5.7,95.4,66.5,Yes
4.6,,49.4,No
12.4,66.1,49.7,No
8.9,58.6,94.9,No
13.6,59.4,102,No
12.4,58.5,70,No
9.6,76.4,55.8,Yes
5.8,85.5,,Yes
2.4,82,60.4,Yes
7.8,78.7,73.6,nan
14.3,87.4,70.3,nan
11.1,122.6,64.5,Yes
3.8,77.7,63.7,Yes
10.9,95.4,61.7,No
11.9,94.3,79.2,No
5.6,110.6,62.1,No
10.8,86.2,95.8,Yes
10.3,58.1,97.2,Yes
,81.1,59.3,No
11.8,80,59.6,Yes
12.8,91.3,64.3,Yes
15.4,57.5,55.4,Yes
15.3,100.3,77.8,Yes
3.1,75.1,82.8,Yes
5.3,91.8,84.3,Yes
12.6,81.2,61.9,No
12.6,77.5,61.7,Yes
12.6,79.7,35.1,Yes
29.3,,55.1,Yes
12.9,114.2,51,No
15.7,34.7,48.4,No
14.8,85.8,57.7,nan
13.3,75.9,60.4,No
8.4,71.5,64.6,No
13.8,27.7,85.4,Yes
6.1,86.6,82.5,No
8.8,,48.1,nan
7.6,58.3,71.4,No
10.4,75.8,53,No
21.6,69.1,67.2,Yes
0.7,40.2,,Yes
13.4,76.8,57.7,Yes
1.9,86.6,50.2,Yes
7.6,64,65.8,Yes
15.4,80.2,84.8,Yes
10.3,77.2,95.1,Yes
4.6,95.9,55.8,No
6.4,72.9,67,Yes
,91,69.1,Yes
,68.7,43.7,No
11.1,114.3,42.9,No
10.2,66.3,69.9,No
6.7,61.3,59.4,No
20.7,73,44,No
13.2,60.4,,Yes
-0.1,50,65.9,No
10.9,89.6,65.2,No
6.7,13.7,48.6,No
14.3,60.6,39.4,No
6,48.2,56,No
9.4,77.8,65.7,No
12.5,31.2,54.4,No
14.3,86,48.5,Yes
4,,59.4,Yes
8.3,42.3,65.5,Yes
7.6,78.8,86.2,No
6.7,85.3,67.3,Yes
18.8,93.8,43,Yes
12,45.6,34.7,No
3.7,42.8,28.2,Yes
14.6,105.1,70.1,Yes
20.6,58.6,49.2,No
15.2,64.5,72.5,No
2.4,,,Yes
7.6,51.6,73.9,No
16.3,69.7,61.6,No
6.5,92.8,92.7,Yes
12.2,46.6,58.1,No
13.9,65,51.5,No
5.4,52.5,70,Yes
9.7,59.5,76.6,Yes
-6.2,98.7,26.2,Yes
4.9,103.1,81.7,No
8.7,80.2,40.6,Yes
3.8,85.6,34.2,Yes
18.2,85.1,59.8,No
2.8,61.6,49.1,Yes
7.8,79.8,71.2,No
10.7,49.1,70.3,Yes
17.2,55.8,69.6,No
2.8,73.3,83.4,Yes
15.8,53.8,60.3,No
10.1,49.5,70.5,nan
,60.8,40,Yes
12.3,97.9,79.4,Yes
11,106.1,57.5,Yes
7,74.3,60.7,No
10.3,86.6,59.9,Yes
8.1,63.7,63.5,No
10.6,33.7,59.5,No
13.3,57.1,32.5,No
17.9,,83.6,Yes
3.8,77.8,55.2,Yes
20.7,73,59.4,Yes
0.2,69.4,62.1,Yes
9.2,63.5,72.9,No
12.9,81.9,57.6,Yes
11.4,47.7,81,No
6.9,91,93.1,Yes
9,63.3,89.5,Yes
7.5,116.3,68.8,No
7.1,68.7,56.4,No
14.2,65.4,56,No
11.8,63.7,59.5,Yes
6.5,65.6,52.2,Yes
14.5,87.1,71.2,No
11.5,74.2,,No
14.1,94.7,64.8,Yes
13.1,84.3,60.4,No
5.9,75.6,,Yes
7.2,82.5,68.8,No
13.7,98.9,59.7,Yes
13.1,88.1,62.8,Yes
9.9,80.6,62.8,No
10.6,83.5,75.1,Yes
16.4,51.9,53.3,No
7,126.4,58,Yes
12.7,85.6,36.5,Yes
9,87.6,48.9,No
8.9,,61.5,nan
15.5,29,58.4,Yes
14.1,69.7,35.6,No
14.1,76.5,72.9,Yes
16.5,58.5,51.8,No
10.1,,40.7,No
13.4,68.2,70.5,No
8.4,90.4,77.5,No
11.6,100.1,200,Yes
9.3,78.4,75.2,No
10.5,63.7,61.8,Yes
13,67.8,61.2,No
5.9,77,48.2,Yes
20.5,79.4,62.7,No
,83.7,63.6,nan
3.9,66.2,98.8,Yes
15.8,85.6,72.8,No
14,84,,No
13.1,67.1,82.7,Yes
13.1,40.6,78.3,Yes
9.9,57.3,43.2,Yes
5.5,106.4,74.9,Yes
10.4,41.1,66.5,Yes
6.6,101.4,54.5,No
14.9,40.4,49.5,Yes
9.3,59.5,62.8,Yes
5.9,67.5,64.8,Yes
8.4,110.6,82.2,No
12.1,75.5,31.2,No
7.2,70.7,46.1,Yes
5.9,56.3,67.9,Yes
11.2,85.4,62.9,No
11.2,64.7,66.7,Yes
7.5,70.4,58.1,No
7.6,67.8,68.7,Yes
11.2,89.4,41.2,Yes
2.8,90.2,96.5,No
3,57.2,71.3,No
6.4,62.5,71.9,No
8.9,60.5,49,No
11.6,78.7,,No
17.4,93.1,72.7,No
14.3,78.9,59.7,No
9.2,31.2,69,No
9.9,,53.3,Yes
5,48,44.9,Yes
9.9,60.7,81.7,Yes
8.6,79,51.6,No
11.6,73.3,78.6,No
5.9,92.5,52.4,Yes
12.6,62.8,,Yes
17.7,55.7,59.2,No
9.5,68.8,61.8,No
12,94.5,76.4,Yes
13.5,87.6,89.5,No
,76.7,62.1,No
-1,101.5,66.8,No
10.1,97.9,61,No
10.5,90.8,66.3,Yes
,51.4,54.2,No
10.1,90.7,49.5,Yes
12.5,71,69.9,Yes
17.3,,68.3,Yes
14.8,,82,Yes
20.8,71.6,65.7,Yes
6.2,62.5,64.3,Yes
14.4,78.4,72.8,No
10.9,71.5,200,Yes
20.9,79.4,62.6,No
6,86.1,26.4,No
5.8,69.1,49.2,No
7,60.3,81.1,No
-0.6,34.9,,Yes
7.4,90.4,85,Yes
6.2,76.6,58.4,No
10.8,71.5,60.1,No
11.7,98.4,76.1,Yes
19.4,49.2,74,No
,76.1,,Yes
7.1,55.7,65.6,Yes
5.5,88.1,64.2,No
12.5,30.5,47.7,No
3.4,91.1,56,No
19.2,90.3,69,Yes
15.9,56.5,61.7,No
7.7,76.3,79,No
,57,91.4,No
16.8,83.6,79.2,Yes
9.4,91.4,71.7,nan
16.2,54.9,62.8,nan
2,49.1,76.9,nan
7,96.9,55.7,No
,113.8,56.8,No
10.2,84.9,46.5,No
7.7,86.4,41.7,No
13.1,,84.2,Yes
4.7,78.6,69,No
9.3,82,73,No
10.6,71.3,63.1,No
12.6,,93.3,Yes
13.6,78.5,91.4,Yes
4.4,81.1,64.7,Yes
2.3,71.8,64.6,No
,73.8,61.7,Yes
11.7,,48.3,Yes
6.3,77.9,58.9,No
17.8,78.4,60.3,Yes
10.6,78.6,31.7,No
15.9,67.7,30.8,No
10.3,46.8,64,Yes
20.3,106.5,77.5,Yes
18.8,,53.4,Yes
8.8,100,91.2,No
14.9,53.5,60.8,Yes
13.2,103.9,52.3,No
16.8,114.3,43.6,Yes
5.2,95.9,66.5,No
,108,34.8,Yes
,91,53.8,Yes
1.2,58.1,65.7,No
4.1,,44,Yes
-0.2,,57.2,No
8.7,63.1,65.4,Yes
13.6,81.3,46.7,Yes
17.5,78.6,74.8,nan
,84.3,79.1,Yes
18.1,39.2,,Yes
3.1,,62,nan
1.5,86,63.1,Yes
9.7,90,70.2,No
11.9,91.3,60.5,Yes
9.8,80,54.2,Yes
-0.3,67.4,49.1,No
9.6,85,,Yes
3.5,69,56.3,No
13.3,93,,No
11.8,83.5,80.7,Yes
5.3,73.8,67.2,No
7.4,59.6,49.7,No
4.7,97.4,,nan
9.7,86.2,50.5,No
14.8,117.1,,No
-1,85.5,56.8,Yes
12.5,87.2,61.9,No
7.3,45.7,55.7,Yes
6,81.2,,Yes
9.5,68.7,74.8,Yes
4.8,91.5,54.4,Yes
7.2,81.7,62.4,No
4,94.7,57.9,Yes
19.8,117.7,50.2,Yes
10.2,59,67.4,No
6.5,93.9,36.8,No
11.1,88.7,50.6,Yes
9.4,114.6,,No
8.9,89.1,51.4,No
13.1,87,48.7,No
13.8,92,,No
7.3,93.4,60.6,Yes
7.1,104.1,59.4,Yes
8.6,58.6,64.8,No
-1.5,67.2,68.5,No
2.4,109.7,71.1,Yes
16.8,35.8,52.9,Yes
18.2,73.3,65.9,No
8.8,78,61.1,No
12.9,71.5,63.4,Yes
11.6,106.6,58.1,No
25.4,84.5,53,Yes
15.6,67.3,61.3,Yes
9.4,62.3,57.9,No
5.2,80.6,69.5,Yes
2,98.3,79.2,Yes
11,,50.9,No
,72.3,56.9,Yes
2.9,61.1,99.8,No
6.8,82.5,37.7,No
4.6,81.4,40.8,Yes
18.4,60.5,80.8,No
14.4,95.5,93.7,Yes
10,109.1,86.8,No
17.4,76,69.7,Yes
10.4,81,58.5,No
5.7,52.9,60.9,Yes
17.6,89.7,71,No
,84.3,79,Yes
4.8,68.5,73,Yes
9,60.1,34.8,No
5.6,112,47.4,No
3.1,82.7,69.2,Yes
14.6,56.6,44.2,nan
19.5,92.1,,No
3,79.6,78.1,Yes
12.8,76.2,68.9,Yes
6.7,94.6,88.2,No
7.6,,79.6,No
7,,55.7,Yes
5.7,102.6,68.7,No
10.2,72.4,53.1,Yes
5.8,66.5,40.8,Yes
11.4,48.2,82.9,Yes
9.7,78.9,62.1,Yes
8.8,81.3,85.2,No
5.5,103.8,66.6,No
7.1,82.4,69.2,Yes
13.8,68.9,73.7,No
12.5,83.1,62.2,No
5.1,97.2,61.4,Yes
10.5,92.8,68.6,No
13.8,87.4,83.7,Yes
1.7,80.5,72.6,nan
12.7,63.4,65.3,Yes
6.7,54.3,58.8,No
12.9,51.2,63.2,Yes
6.2,82.9,52,Yes
1,85,50.3,No
1.9,96.9,61.4,No
10.2,86.2,65.1,nan
11.3,96,75.9,Yes
5.5,72.4,48.1,No
13.2,90.4,65.2,Yes
1.7,55,,No
9.7,73.8,50.3,Yes
3.9,,58.1,No
6.7,75.6,76.4,No
10.2,99.5,64.1,Yes
5.7,76.4,34.7,No
8.1,89.4,76.6,No
15,80.5,66.3,Yes
7.1,63.6,,No
,71.3,51.8,Yes
4.4,98.6,63.1,No
12.6,89.3,69.7,No
17.2,62.6,80.4,Yes
-2.4,47.3,51.5,No
6,79.1,58.2,Yes
12.9,63.4,78.3,Yes
9,71.5,80.7,Yes
11.9,45.9,60.1,Yes
7,,57,No
10.4,73.1,72.5,Yes
9.2,76.1,,Yes
15.8,58.3,64.8,No
11.3,69.5,64.6,Yes
11.7,77.4,58,nan
7.9,62.7,72.1,No
7.6,70.7,81.4,No
7.8,102.7,50.4,Yes
12,40,54.1,Yes
,78.7,75,No
11.4,59.3,43.2,Yes
20.4,101.7,57,Yes
14.4,71.4,97.5,Yes
8.4,54.1,,No
16,,60.7,Yes
8,82,39.1,Yes
-0.2,,,Yes
5,32.8,80.9,No
0.6,51,47.5,No
8.2,101.1,65.7,Yes
10.1,44.8,84.1,No
18.4,75.2,57.5,Yes
11.6,65.3,58.1,Yes
8.9,62.2,75.4,Yes
14.1,,85.3,Yes
-1.1,68.3,77.7,Yes
11.2,,87.1,No
13.9,101.6,30.4,Yes
2.6,83.5,71.3,No
15.7,70.3,84.3,nan
11.7,80.2,71.8,No
7.9,91.1,62.8,No
13.2,95,46.6,nan
21.4,82.4,54,No
10.9,105.6,87.5,No
11.2,62.7,200,Yes
7.7,97.8,55.5,No
5.8,89.1,41.7,Yes
14.2,62.8,72,Yes
5.7,79.7,52.9,Yes
10.4,81,64.5,Yes
7.6,72.2,90.9,Yes
12.4,71.9,77,No
,44.5,84.6,No
15.2,61.2,67.2,No
7.4,70.2,75.7,Yes
8.7,,84.9,No
5.1,57.9,52.6,Yes
7.8,96.2,64.4,No
11.9,72.9,54.7,No
13.8,118.3,55.9,Yes
5.4,79.5,62.8,No
14.3,95.8,50.7,Yes
16.8,70.8,59.4,No
12.1,61.8,75.3,Yes
19.4,80.3,63.6,No
6.1,100.9,53.4,Yes
3.8,73.2,76.8,No
1.1,83.9,51.3,nan
17.5,80.2,48.4,Yes
13.3,73,83,No
9.7,74.1,77.7,No
11.4,55,59.9,No
4.4,74.8,93.4,No
22.2,88.1,56.5,Yes
10.6,80.9,75.2,No
10.5,78.7,41.3,No
13.6,89.5,49.8,Yes
12.4,78.9,,nan
11.1,75.3,86.3,nan
6,89.7,62.7,No
12.4,77.7,99.2,nan
19.4,70.3,84.6,No
16.7,84.4,54.6,No
18,74.3,59.3,Yes
7.4,69.4,44.2,No
5.1,78.1,58.4,No
9.4,78.3,68.6,Yes
10.3,52.9,65.6,Yes
15.5,81.7,65.5,nan
1.5,111.9,80,No
17.6,55.4,67.5,No
,64.9,75.3,Yes
7.9,130.6,71.7,nan
,58.6,69.3,Yes
1.7,100.7,78.8,No
14.1,70.4,77,No
10.4,76.2,200,Yes
3.6,,92.3,Yes
3.5,83.5,66.8,Yes
8.3,43.4,50.7,Yes
18.3,78.7,64,Yes
,66.9,68.9,Yes
2.5,37.7,73.8,Yes
8.8,97.4,79.4,nan
,32.8,76.5,No
-3.5,118,92.6,No
9.7,87.3,66.6,No
8.8,47.8,62.6,Yes
13.5,101.8,43,No
19.2,60,79.5,nan
15.6,60.9,74.1,Yes
,39,56.5,Yes
4.5,57.7,68.6,Yes
22.9,60.1,64.8,Yes
10.3,91.4,67.6,No
10.1,98.3,60.9,Yes
9.9,50.2,66.7,No
,80.4,42.2,No
9.3,38.2,58.9,Yes
7.1,80.5,69.6,Yes
7.3,118.2,,Yes
9.8,39.4,70.8,Yes
7.3,54.7,96,Yes
6.4,89.5,,No
10.5,91.9,37.5,Yes
8.7,56.2,83.1,No
17.5,104.5,96.4,Yes
-3.3,58.7,70.6,Yes
15.5,108.5,65.1,No
16.2,84.4,55.3,No
-0.4,100.4,73.1,Yes
8.3,82.4,64.8,Yes
,88.1,77.7,No
3,89.2,39.3,No
6.1,,69.9,No
4.4,,52.5,Yes
18.8,57,79.2,No
14.7,73.4,47.8,Yes
16.4,61.7,74.4,Yes
13.6,63,56.3,nan
4.4,108.1,58.5,Yes
7.4,87.5,77.7,Yes
12.4,86.5,,Yes
3.9,96.5,42.5,No
13.6,87.4,66.1,No
8.8,112.3,55.1,No
8.1,33.1,44.4,No
13.6,,70.3,No
12.2,61,69.3,No
8.2,47.5,66.8,No
15.8,77.3,72.6,Yes
4.6,78.2,35.1,Yes
13.1,114.5,53.6,Yes
13,93.1,69.2,No
8.5,64.8,80.5,No
11.6,84.9,68.6,No
3.7,,82.5,Yes
14.6,77.8,54.8,Yes
9.1,76.8,55.8,Yes
7.4,57,59.4,Yes
15.2,71,63.8,No
6.5,61.1,38.4,Yes
3,56.3,64.7,No
2.2,88.5,64.5,No
13,95.7,55.8,No
3.6,85.2,53.5,Yes
18.8,66.2,,No
-0.4,61.7,73.8,No
18.5,66.9,67.2,No
11.1,70.6,67.1,No
9.5,57.6,64.5,No
7.3,96.1,65.2,No
12,71,75.2,No
9.8,90.3,89.3,Yes
15.5,47,87.4,Yes
10.6,61.2,48.7,Yes
10.8,92.2,33.3,Yes
8.2,92.5,73,Yes
9.7,50.9,65.3,Yes
11.5,81.1,64.1,No
1.4,81.6,70.7,Yes
3.3,60.8,61.3,Yes
13.7,82.1,40.7,Yes
10.9,43.4,47.9,Yes
9.1,56.5,48.8,Yes
10.1,87,75,nan
11.7,75.6,93.3,No
7.3,76.6,58,No
6.1,71.5,104,Yes
11,85.7,36.6,No
5.1,86.7,57.4,No
12,90.8,67.7,No
1.5,77.5,26.7,No
15.1,67.2,87.8,No
12.4,63.9,54.6,Yes
11.3,53.9,65.5,No
14.9,66.9,71.7,No
18.3,62.9,41.1,No
15.1,107,101.5,No
0.8,54.1,67,Yes
3.6,95.7,59.9,No
6.9,69.6,48.3,nan
10.1,70.9,68.1,Yes
12.6,83,,No
6.4,,67.1,Yes
10.9,59,86,Yes
6.2,50.2,82.5,Yes
6.9,67.4,56.7,No
3,56.8,60.8,Yes
5.4,101.3,73.1,Yes
3.2,63.3,82.7,Yes
5.1,27.4,200,No
15.3,68.3,89.4,No
5.3,91.1,51,Yes
23.2,107.6,76.3,No
12.5,70.4,44.2,No
10.9,64.7,58.1,nan
5.7,74.7,47.4,No
13.5,83.3,47.7,Yes
7.1,52.4,68.6,Yes
10.6,70.1,54.6,Yes
22.8,74,69.3,No
,75.9,46.9,Yes
15.7,72.1,72.3,No
6.5,56.3,58.5,Yes
9.8,81.8,60.6,Yes
18.9,74.1,45.5,Yes
6.9,74.1,80.3,No
19.1,53.3,67.1,Yes
13.5,,,No
7.2,,45.9,Yes
13.2,107.3,75.1,Yes
14.9,,65.6,Yes
13.1,90.2,57.6,No
2.1,36.8,85.7,Yes
6.4,29.8,71.1,No
8.8,63.9,71.8,No
9.6,29.8,35.5,No
13.1,89.6,81.2,No
10.9,74.6,71.7,No
3.3,103,83.6,No
11.9,71.7,56.1,Yes
,79.9,54.3,Yes
12.8,69.6,89.2,Yes
15.4,57.5,79.4,Yes
14.2,66.9,43.6,No
12.3,50.9,65.2,Yes
9.6,82.7,80.3,No
1.7,,67.7,Yes
12.1,,56.8,Yes
11,131.5,55,No
11.4,66.9,66,Yes
3.6,81.3,80.3,No
4.6,73.9,50.1,Yes
15.3,98.2,33,No
9.8,79.8,,No
13.4,69.6,71.8,No
10.1,120.9,75.1,Yes
10.1,57.8,49.8,No
14.7,71.1,69,Yes
7.4,93.3,55.4,No
10.5,58.6,76,Yes
7.7,90.3,63,No
7.8,65.4,77.6,nan
8.5,95.1,66,No
11.1,94.5,72.5,No
7.6,73.2,58.4,Yes
16.3,55,54.3,No
5.5,67.2,60.7,Yes
9.1,74.7,74.2,Yes
7.8,92.8,102.9,No
17.2,81.4,83.9,Yes
,85.8,87.8,No
15.2,82,63.4,Yes
2.6,91.9,,No
11.3,71,31.9,Yes
14.4,78.3,56,No
10.4,75.6,44.3,Yes
15.3,66.2,76.5,No
7.4,95.2,62,Yes
17,94.8,45.2,Yes
21.5,99.1,73.2,Yes
8.2,59.7,69.8,No
7.8,82,48,No
17.3,96.8,87.7,No
17.9,105.1,53.7,Yes
7.4,44.8,73.9,Yes
7.9,74.9,63.1,nan
8.6,71.2,89.7,Yes
3.3,106.8,78.8,Yes
5.4,30.8,48.5,Yes
5,54.1,92.3,No
6.2,,46,Yes
9.8,65.6,49.1,Yes
11.2,49,89.4,No
17.8,105.2,64.6,No
5,46.4,69.7,nan
14.9,95.4,71.3,No
8.9,43.8,48.8,Yes
9.8,46.1,93.2,No
13.4,79,,No
4.4,58,37,No
11.9,80.4,58.3,No
10.8,111,75.2,Yes
12.5,71.9,63.3,No
11.4,107.6,56.9,Yes
22.3,81.5,73.4,No
6.8,94.1,74.9,Yes
7.3,27.9,90.4,No
6.9,87.7,39,No
7.2,84.7,49.9,Yes
6.8,67.8,53.7,Yes
15.9,112.9,101,Yes
17.1,65.1,87.6,Yes
7.1,42.8,69.1,Yes
5.8,90.6,63.7,Yes
12.4,46.5,71.6,nan
7.2,76.5,82.6,No
13.2,101.8,61.2,No
11,85,69.1,Yes
2.4,70.1,59.9,Yes
,68,44.1,No
19,100.3,38.2,Yes
6.9,50.6,54.6,Yes
,90.5,,Yes
11.4,118.9,71.5,Yes
11.7,,69,Yes
13.3,70.2,44.1,Yes
20.1,71.8,65.1,No
9.1,65.4,56.8,Yes
6,62,61.3,No
3.1,77.4,66.2,No
6.3,88.6,84.2,Yes
9.8,107.2,58.1,No
19,35.9,90.2,Yes
7.4,26.2,45.5,Yes
11.1,107.6,51.8,Yes
9.9,76.1,63.6,Yes
,77.2,47.5,Yes
22.6,85,45.2,No
7.3,71.3,66.1,Yes
7.6,114.5,45.1,No
15.2,84.8,50.6,No
13.4,66,,No
19.2,67.8,90.5,No
12.9,,62.1,No
8.2,59.5,,Yes
13,,47.8,No
15.5,,,No
14.1,51.6,30.6,Yes
12.5,83.1,50.2,No
15.3,103.8,76.5,nan
15.8,96.2,56.4,No
16.9,59.8,67.3,Yes
13.2,52.8,68.3,No
9.2,103.5,76,Yes
10.7,42.5,89.9,Yes
16,82.4,74.1,No
5.9,63.6,61.4,Yes
11.8,101.3,77,Yes
8,53.9,69.6,nan
10.1,59.1,31.4,Yes
16.4,87.3,47,No
11,90.9,61.6,Yes
10.2,,56.2,No
3.2,84.5,63.2,Yes
13.7,82,28.6,No
13.2,96,77.6,Yes
20.8,47.6,64.2,nan
8.5,57.4,83.2,Yes
11.1,49.3,65.4,No
,21.3,68,Yes
,91.8,49.5,No
9.5,103.6,46.9,Yes
11.4,86.1,67,Yes
13,82.6,65,Yes
10.9,76.7,40.4,Yes
7.8,76.1,79.1,No
,108.9,65.7,No
15.4,106,57.4,Yes
4.9,63.3,52,No
10.7,97.2,76.3,Yes
6.5,99.6,54.6,Yes
16,88,,Yes
2.4,82.8,62.5,nan
7.2,82.1,57,nan
11.9,45.4,45.5,No
17.8,43.6,84.5,No
9.7,90.7,49.9,No
7.2,53,52.1,No
19.4,47.2,85.1,Yes
2.8,33.5,63.5,Yes
-1,65.5,69.8,Yes
12.2,82.5,87.7,No
7.5,84.1,87.3,No
4.9,92,56.8,No
13.5,67.2,82.3,nan
,,40.9,Yes
7.2,91.9,38.6,Yes
3.6,84.3,65.7,Yes
14.4,63.3,63.7,Yes
13.3,81,74.7,No
9.5,35.3,73.1,Yes
19.2,75,75.4,No
,62.6,,No
2.4,105.4,94.4,No
6.5,55.5,78.2,No
,77.3,64.7,Yes
11.2,66.4,61.9,No
8.8,63.8,64.8,Yes
11.8,82.5,56.4,No
3.7,66.6,78.9,No
17.2,,80.6,No
9.6,35.5,55.5,nan
15.6,87.6,62.5,Yes
11.7,73.3,38.5,Yes
12.3,74,,No
12.8,81,65.6,Yes
12.2,95,,No
13.2,80.3,57.1,Yes
16.6,95,47.7,No
11,75.9,41.4,No
13.5,54.3,87.2,Yes
9.6,73.2,,Yes
17.2,,66.7,No
6.6,66.8,79.6,No
19,53.3,86.3,No
9.8,87.4,49.1,No
2.8,81.7,84.2,Yes
10.6,59.6,67.4,Yes
6.6,,73.6,Yes
14.2,71.4,91.4,Yes
6.7,75.1,74.2,nan
7.8,87.9,51.1,Yes
0.6,66.9,34.2,Yes
7.7,89,74.6,Yes
-2.1,64.3,71.1,No
2.1,108.3,53.1,No
13.8,108.8,67.8,nan
13.9,57.9,,No
12.1,50.5,,Yes
5.2,94.6,44.9,Yes
9.8,80.2,83.1,No
10,86,96.5,nan
4.2,61.9,69.3,Yes
,72.4,70.8,Yes
14.4,68.1,73.8,Yes
8.9,81.1,69.2,No
10.1,50.1,48.6,No
11,73,86.2,No
-0.2,49.9,71.8,Yes
8.8,64.7,73.4,No
6.6,73.1,80.1,Yes
5,85.1,79.5,nan
